indicator,context
Poverty Rate (%),negative
National poverty rank (N),negative
Provincial poverty rank (N),negative
"Number of poor (1,000s)",negative
Access to improved drinking water (% of population),positive
Access to piped water (% of population),positive
"Access to improved drinking water, excl. piped water (% of population)",positive
Access to improved water within 30 minutes round trip,positive
Access to improved toilet facilities (% of population),positive
Access to flush toilet connected to sewer (% of population),positive
Access to flush toilet connected to septic tank (% of population),positive
Open defecation (% of population),negative
Access to electricity (% of population),positive
Reliance on clean fuels for cooking (% of population),positive
Households' mobile phone ownership (% of population),positive
"Accessibility, health (% of population within 15 minutes to clinic/hospital)",positive
"Accessibility, transportation (% of population within 15 minutes to public transportation)",positive
Household size,negative
Household dependency ratio,negative
Household child dependency ratio,negative
Household senior dependency ratio,negative
"Occupancy, present occupancy status-owner (% of population)",positive
"Occupancy, present occupancy status-rented (% of population)",positive
"Occupancy, present occupancy status-other (% of population)",positive
Improved roof material (% of population),positive
Improved wall material (% of population),positive
Improved roof and wall material (% of population),positive
Household members per room,negative
Overcrowding (% of population),negative
"Labor force participation rate (% of working age population, 15-64 years old)",positive
Employment in agriculture (% of total employment),negative
Employment in industry (% of total employment),negative
Employment services (% of total employment),negative
Wage and salaried employment (% of total employment),positive
"Self-employment, non-agriculture (% of total employment)",negative
"Self-employment, agriculture (% of total employment)",negative
Unpaid employment (% of total employment),negative
Child labor (% of children aged 10-17),negative
"Labor force participation rate, male (% of male working age population, 15-64 years old)",positive
"Employment in agriculture, male (% of male employment)",negative
"Employment in industry, male (% of male employment)",negative
"Employment services, male (% of male employment)",negative
"Wage and salaried employment, male (% of male employment)",positive
"Self-employment, non-agriculture, male (% of male employment)",negative
"Self-employment, agriculture, male (% of male employment)",negative
"Unpaid employment, male (% of male employment)",negative
"Labor force participation rate, female (% of female working age population, 15-64 years old)",positive
"Employment in agriculture, female (% of female employment)",negative
"Employment in industry, female (% of female employment)",negative
"Employment services, female (% of female employment)",negative
"Wage and salaried employment, female (% of female employment)",positive
"Self-employment, non-agriculture, female (% of female employment)",negative
"Self-employment, agriculture, female (% of female employment)",negative
"Unpaid employment, female (% of female employment)",negative
"Gross school enrollment, primary school, 6-10 years old (% gross)",positive
"Gross school enrollment, middle school, 11-13 years old (% gross)",positive
"Net school enrollment, primary school, 6-10 years old (% net)",positive
"Net school enrollment, middle school, 11-13 years old (% net)",positive
"Gross school enrollment, primary school, 6-10 years old, male (% gross male)",positive
"Gross school enrollment, middle school, 11-13 years old, male (% gross male)",positive
"Net school enrollment, primary school, 6-10 years old, male (% net male)",positive
"Net school enrollment, middle school, 11-13 years old, male (% net male)",positive
"Gross school enrollment, primary school, 6-10 years old, female (% gross female)",positive
"Gross school enrollment, middle school, 11-13 years old, female (% gross female)",positive
