indicator,indicator_1,context,units,domain,source,definition
Poverty Rate (%),Poverty Rate (%),negative,%,Household Welfare,HIES/PSLM ,The percentage of population living below the official national poverty line. The district poverty headcount rate is calculated using a small area estimation approach based on successive pairs of HIES and PSLM survey rounds.
National poverty rank (N),National poverty rank (N),negative,,Household Welfare,HIES/PSLM ,"District’s poverty rank among all districts in Pakistan. The district with the lowest poverty rate has a rank of 1, the district with the highest poverty rate has a rank of N, where N is the total number of districts in the country."
Provincial poverty rank (N),Provincial poverty rank (N),negative,,Household Welfare,HIES/PSLM ,"District’s poverty rank among all districts in its province of reference. The district with the lowest poverty rate within the province has a rank of 1, while the district with the highest poverty rate has a rank of N, where N is the total number of districts in the province."
"Number of poor (1,000s)","Number of poor (1,000s)",negative,(000s),Household Welfare,HIES/PSLM ,The population living below the official national poverty line (in thousands) using the district poverty headcount rate calculated using a small area estimation approach based (as described above under Poverty Rate (%)) and district population estimates from PSLM.
Access to improved drinking water (% of population),Improved drinking water,positive,%,Water and Sanitation,PSLM,"The percentage of population for which the main source of drinking water is an improved water source. An improved water source includes piped water, hand pump, water motor\tube well, covered well, or filtration plant."
Access to piped water (% of population),Access to piped water,positive,%,Water and Sanitation,PSLM,The percentage of population for which the main source of drinking water is piped water.
"Access to improved drinking water, excl. piped water (% of population)","Improved drinking water, excl. piped",positive,%,Water and Sanitation,PSLM,"The percentage of population for which the main source of drinking water is an improved water source other than piped water. This includes hand pump, water motor\tube well, covered well, or filtration plant."
Access to improved water within 30 minutes round trip,Improved water within 30 mins,positive,%,Water and Sanitation,PSLM,"The percentage of population for which the main source of drinking water is an improved water source (piped water, hand pump, water motor-tube well, covered well, or filtration plant) that takes less than or equal to 30 minutes (round trip) to fetch water from. This includes those for whom their main drinking water source is within their household’s premises."
Access to improved toilet facilities (% of population),Improved toilet facilities ,positive,%,Water and Sanitation,PSLM,"The percentage of population which uses an improved toilet facility for their necessities. Improved toilet facility refers to either flush connected to public sewerage, or flush connected to septic tank."
Access to flush toilet connected to sewer (% of population),Flush toilet connected to sewer ,positive,%,Water and Sanitation,PSLM,The percentage of population which uses a flush connected to public sewerage.
Access to flush toilet connected to septic tank (% of population),Flush toilet connected to septic tank ,positive,%,Water and Sanitation,PSLM,The percentage of population which uses a flush connected to septic tank.
Open defecation (% of population),Open defecation ,negative,%,Water and Sanitation,PSLM,The percentage of population which goes to nearby fields or open places for their necessities.
Access to electricity (% of population),Access to electricity ,positive,%,Affordable and Clean Energy,PSLM,Percentage of population which uses electricity as their main source of lighting or cooking.
Reliance on clean fuels for cooking (% of population),Reliance on clean fuels for cooking ,positive,%,Affordable and Clean Energy,PSLM,Percentage of population whose main source of fuel to cook food is electricity or gas.
Households' mobile phone ownership (% of population),Households' mobile phone ownership ,positive,%,Asset Ownership,PSLM,Percentage of population which belongs to a household that has access to a working mobile phone.
